,Lambda,Hidden,TrainAccuracy,ValidationAccuracy,TestAccuracy,Time
0,0,0,11.484,10.0,11.35,11.202970743179321
1,0,10,91.242,90.25999999999999,91.0,61.785839796066284
2,0,20,92.766,91.72,92.67,69.860276222229
3,0,30,94.108,92.99,93.52000000000001,77.2933452129364
4,0,40,94.056,92.97999999999999,93.84,72.65639615058899
5,0,50,94.08800000000001,93.10000000000001,93.91000000000001,81.65316343307495
6,0,60,93.796,93.01,93.62,83.13089609146118
7,0,70,93.694,92.86999999999999,93.56,87.51667308807373
8,0,80,94.45400000000001,93.44,94.14,96.53363347053528
9,0,90,93.774,92.94,93.66,93.64932179450989
10,10,0,11.484,10.0,11.35,8.548554420471191
11,10,10,90.984,89.91,90.60000000000001,62.70588445663452
12,10,20,92.542,91.52,92.66,64.94531321525574
13,10,30,93.116,92.17999999999999,92.9,85.83145880699158
14,10,40,93.096,92.17,92.97,108.70986747741699
15,10,50,88.176,87.12,88.94,58.47292232513428
16,10,60,92.71000000000001,91.97,92.71000000000001,78.8320620059967
17,10,70,91.67,90.94,92.01,101.9163408279419
18,10,80,91.848,90.96,92.0,73.34987545013428
19,10,90,73.344,71.61,74.03999999999999,32.81717872619629
20,20,0,11.484,10.0,11.35,5.474362134933472
21,20,10,89.36800000000001,88.29,89.64,42.56219744682312
22,20,20,90.944,89.89,91.07,37.73809742927551
23,20,30,90.932,89.9,91.28,51.76264715194702
24,20,40,91.148,90.22,91.41,61.13952565193176
25,20,50,88.854,87.83,89.27000000000001,31.69026756286621
26,20,60,90.348,89.5,90.72,65.28846955299377
27,20,70,88.844,88.02,89.41,47.04620933532715
28,20,80,89.63600000000001,88.64999999999999,90.03999999999999,50.55781865119934
29,20,90,90.51,89.7,91.08000000000001,86.6682665348053
30,30,0,11.484,10.0,11.35,4.626627683639526
31,30,10,85.70400000000001,84.02,85.78,39.244070291519165
32,30,20,90.13799999999999,89.1,90.2,38.617743492126465
33,30,30,90.16199999999999,89.25999999999999,90.59,38.849419832229614
34,30,40,89.404,88.46000000000001,89.99000000000001,52.844743490219116
35,30,50,90.834,89.78,91.2,58.15549993515015
36,30,60,90.86800000000001,90.03999999999999,91.18,70.531414270401
37,30,70,88.69,87.72999999999999,89.44,44.00234627723694
38,30,80,90.256,89.29,90.75999999999999,68.17024517059326
39,30,90,79.24799999999999,77.53999999999999,79.97,35.47117495536804
40,40,0,11.484,10.0,11.35,3.7190563678741455
41,40,10,88.262,87.28,88.92999999999999,37.32424974441528
42,40,20,90.514,89.56,90.96,45.91024446487427
43,40,30,88.62,87.47,88.9,35.76737308502197
44,40,40,88.976,87.64,89.35,35.378403425216675
45,40,50,81.744,80.33,82.22,29.8063063621521
46,40,60,88.306,87.25,88.98,44.103076219558716
47,40,70,87.952,86.89,88.67,43.87369179725647
48,40,80,89.422,88.41,90.01,54.578068256378174
49,40,90,86.992,86.06,87.77000000000001,59.0501127243042
50,50,0,11.484,10.0,11.35,3.6991090774536133
51,50,10,85.014,83.74000000000001,85.21,39.41461420059204
52,50,20,89.71000000000001,88.75999999999999,90.22,40.1606342792511
53,50,30,88.61,87.45,89.16,38.893012285232544
54,50,40,88.51400000000001,87.69,88.99000000000001,47.984699010849
55,50,50,88.224,87.33999999999999,88.6,49.337082624435425
56,50,60,88.208,87.2,88.79,36.13891673088074
57,50,70,88.642,87.62,89.02,37.913625717163086
58,50,80,84.078,82.87,84.74000000000001,41.2397346496582
59,50,90,88.584,87.71,89.03,55.036381244659424
